localhost (centos7.6.1810)
==========================
Total: 136 (High:19 Medium:93 Low:24 ?:0), 27/136 Fixed, 1144 installed, 115 updatable, 1 exploits, en: 0, ja: 0 alerts

+------------------+---------+------+------+----+------+---------------------------------------------------+
|      CVE-ID      |  FIXED  | CERT | CVSS | AV | POC  |                        NVD                        |
+------------------+---------+------+------+----+------+---------------------------------------------------+
| CVE-2018-14618   |   fixed |      | 10.0 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14618   |
| CVE-2018-15686   | unfixed |      | 10.0 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15686   |
| CVE-2019-11811   |   fixed |      | 10.0 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11811   |
| CVE-2018-1000076 | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000076 |
| CVE-2018-12327   | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12327   |
| CVE-2018-1312    |   fixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1312    |
| CVE-2018-14599   | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14599   |
| CVE-2018-14600   | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14600   |
| CVE-2018-16402   | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16402   |
| CVE-2019-0160    | unfixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-0160    |
| CVE-2019-10160   |   fixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-10160   |
| CVE-2019-9636    |   fixed |      |  9.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-9636    |
| CVE-2019-12735   |   fixed |      |  9.3 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-12735   |
| CVE-2019-3855    |   fixed |      |  9.3 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3855    |
| CVE-2018-16842   | unfixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16842   |
| CVE-2018-8780    | unfixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8780    |
| CVE-2019-3858    | unfixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3858    |
| CVE-2019-3861    | unfixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3861    |
| CVE-2019-3862    |   fixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3862    |
| CVE-2019-9948    | unfixed |      |  9.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-9948    |
| CVE-2018-19788   | unfixed |      |  9.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-19788   |
| CVE-2016-3616    | unfixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-3616    |
| CVE-2018-12180   |   fixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12180   |
| CVE-2019-11085   |   fixed |      |  8.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11085   |
| CVE-2019-3856    |   fixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3856    |
| CVE-2019-3857    |   fixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3857    |
| CVE-2019-3863    |   fixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3863    |
| CVE-2019-8324    |   fixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-8324    |
| CVE-2018-5743    |   fixed |      |  8.6 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5743    |
| CVE-2018-9363    | unfixed |      |  8.4 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-9363    |
| CVE-2018-14348   | unfixed |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14348   |
| CVE-2018-16396   | unfixed |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16396   |
| CVE-2018-16884   |   fixed |      |  8.0 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16884   |
| CVE-2019-3813    |   fixed |      |  8.0 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3813    |
| CVE-2018-1000074 | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000074 |
| CVE-2018-1000876 | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000876 |
| CVE-2018-10853   | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-10853   |
| CVE-2018-14734   | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14734   |
| CVE-2018-15857   | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15857   |
| CVE-2018-18281   | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18281   |
| CVE-2018-3613    | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-3613    |
| CVE-2018-9516    | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-9516    |
| CVE-2019-11477   |   fixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11477   |
| CVE-2019-11810   | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11810   |
| CVE-2018-1000073 | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000073 |
| CVE-2018-1000075 | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000075 |
| CVE-2018-11813   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-11813   |
| CVE-2018-12697   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12697   |
| CVE-2018-14598   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14598   |
| CVE-2018-14647   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14647   |
| CVE-2018-16871   |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16871   |
| CVE-2018-6914    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-6914    |
| CVE-2018-8777    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8777    |
| CVE-2018-8778    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8778    |
| CVE-2018-8779    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8779    |
| CVE-2019-0217    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-0217    |
| CVE-2019-11478   |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11478   |
| CVE-2019-11479   |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11479   |
| CVE-2019-5010    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-5010    |
| CVE-2019-8322    |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-8322    |
| CVE-2019-8323    |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-8323    |
| CVE-2019-8325    |   fixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-8325    |
| CVE-2019-6133    |   fixed |      |  7.3 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-6133    |
| CVE-2018-9517    | unfixed |      |  7.2 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-9517    |
| CVE-2018-5383    | unfixed |      |  7.1 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5383    |
| CVE-2019-5489    | unfixed |      |  7.1 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-5489    |
| CVE-2018-1122    | unfixed |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1122    |
| CVE-2018-14625   | unfixed |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14625   |
| CVE-2019-11599   | unfixed |      |  7.0 |  L |    Y | https://nvd.nist.gov/vuln/detail/CVE-2019-11599   |
| CVE-2019-1559    | unfixed |      |  6.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-1559    |
| CVE-2019-3900    | unfixed |      |  6.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3900    |
| CVE-2017-5731    | unfixed |      |  6.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-5731    |
| CVE-2017-5732    | unfixed |      |  6.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-5732    |
| CVE-2017-5733    | unfixed |      |  6.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-5733    |
| CVE-2017-5734    | unfixed |      |  6.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-5734    |
| CVE-2017-5735    | unfixed |      |  6.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-5735    |
| CVE-2018-0739    |   fixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-0739    |
| CVE-2018-11212   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-11212   |
| CVE-2018-11213   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-11213   |
| CVE-2018-11214   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-11214   |
| CVE-2018-14498   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14498   |
| CVE-2018-18520   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18520   |
| CVE-2018-5741    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5741    |
| CVE-2019-3459    | unfixed |      |  6.5 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3459    |
| CVE-2019-3460    | unfixed |      |  6.5 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3460    |
| CVE-2019-7149    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7149    |
| CVE-2019-9740    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-9740    |
