localhost (centos7.6.1810)
==========================
Total: 21 (High:4 Medium:16 Low:1 ?:0), 21/21 Fixed, 1145 installed, 103 updatable, 0 exploits, en: 0, ja: 0 alerts

+----------------+---------+------+------+----+-----+-------------------------------------------------+
|     CVE-ID     |  FIXED  | CERT | CVSS | AV | POC |                       NVD                       |
+----------------+---------+------+------+----+-----+-------------------------------------------------+
| CVE-2019-10160 |   fixed |      |  9.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-10160 |
| CVE-2019-9636  |   fixed |      |  9.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-9636  |
| CVE-2019-12735 |   fixed |      |  9.3 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-12735 |
| CVE-2019-3855  |   fixed |      |  9.3 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-3855  |
| CVE-2018-12180 |   fixed |      |  8.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2018-12180 |
| CVE-2019-3856  |   fixed |      |  8.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-3856  |
| CVE-2019-3857  |   fixed |      |  8.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-3857  |
| CVE-2019-3863  |   fixed |      |  8.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-3863  |
| CVE-2019-8324  |   fixed |      |  8.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-8324  |
| CVE-2018-5743  |   fixed |      |  8.6 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2018-5743  |
| CVE-2019-3813  |   fixed |      |  8.0 |  A |     | https://nvd.nist.gov/vuln/detail/CVE-2019-3813  |
| CVE-2019-11477 |   fixed |      |  7.8 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-11477 |
| CVE-2019-11478 |   fixed |      |  7.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-11478 |
| CVE-2019-11479 |   fixed |      |  7.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-11479 |
| CVE-2019-8322  |   fixed |      |  7.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-8322  |
| CVE-2019-8323  |   fixed |      |  7.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-8323  |
| CVE-2019-8325  |   fixed |      |  7.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2019-8325  |
| CVE-2019-6133  |   fixed |      |  7.3 |  L |     | https://nvd.nist.gov/vuln/detail/CVE-2019-6133  |
| CVE-2018-0739  |   fixed |      |  6.5 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2018-0739  |
| CVE-2018-5742  |   fixed |      |  5.9 |  N |     | https://nvd.nist.gov/vuln/detail/CVE-2018-5742  |
| CVE-2018-5407  |   fixed |      |  4.8 |  L |     | https://nvd.nist.gov/vuln/detail/CVE-2018-5407  |
+----------------+---------+------+------+----+-----+-------------------------------------------------+


